epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1223.91,0.88855,1.82646,1.44557,0.65496,0.52324,0.60549,0.22106,1.49541,3.1212,2.08691,0.000656863,0.000656863,0.000656863
2,2360.43,0.92557,1.49161,1.47532,0.78421,0.69888,0.79813,0.44795,1.45217,2.14165,2.14772,0.00129732,0.00129732,0.00129732
3,3539.5,1.02747,1.42305,1.53133,0.46619,0.5641,0.4926,0.20894,1.56565,2.46591,2.31264,0.00191138,0.00191138,0.00191138
4,4676.17,1.02189,1.31595,1.52997,0.77598,0.70513,0.76258,0.48457,1.29575,1.68414,2.42191,0.0018812,0.0018812,0.0018812
5,5845.63,1.01186,1.24576,1.51399,0.81143,0.78846,0.82898,0.46561,1.49004,1.62443,2.45238,0.0018416,0.0018416,0.0018416
6,6950.71,0.96797,1.17956,1.48403,0.77649,0.73077,0.77827,0.41472,1.36215,1.45534,2.09464,0.001802,0.001802,0.001802
7,8224.88,0.93951,1.12822,1.45915,0.86374,0.82051,0.88305,0.46626,1.6213,1.33609,2.5668,0.0017624,0.0017624,0.0017624
8,9508.64,0.91288,1.02764,1.46081,0.84718,0.86538,0.90256,0.54023,1.17075,1.17421,1.85857,0.0017228,0.0017228,0.0017228
9,10653.4,0.91484,1.0247,1.46229,0.92571,0.83974,0.91962,0.58723,1.06669,1.09289,1.68343,0.0016832,0.0016832,0.0016832
10,11961.1,0.87861,0.94787,1.42656,0.79962,0.74182,0.82732,0.49195,1.30222,1.36423,1.98034,0.0016436,0.0016436,0.0016436
11,13145.3,0.87423,0.96389,1.42021,0.89329,0.83333,0.92036,0.52519,1.38635,1.15886,2.06798,0.001604,0.001604,0.001604
12,14313.5,0.82108,0.91757,1.35549,0.84794,0.80769,0.8874,0.59402,1.06825,0.98056,1.74097,0.0015644,0.0015644,0.0015644
13,15459,0.83663,0.92338,1.40532,0.82839,0.89734,0.90351,0.61437,1.03965,0.92556,1.66442,0.0015248,0.0015248,0.0015248
14,16629.7,0.818,0.84788,1.38339,0.86526,0.82051,0.88398,0.63076,0.98458,0.93493,1.53383,0.0014852,0.0014852,0.0014852
15,17861.1,0.80567,0.86266,1.38398,0.91647,0.88462,0.95432,0.68383,0.93676,0.79904,1.57015,0.0014456,0.0014456,0.0014456
16,19141,0.78767,0.80115,1.343,0.92278,0.9193,0.94564,0.7048,0.92799,0.86979,1.51307,0.001406,0.001406,0.001406
17,20349.7,0.81422,0.82938,1.35019,0.88245,0.91429,0.94709,0.69839,0.95198,0.94051,1.5457,0.0013664,0.0013664,0.0013664
18,21385.7,0.77293,0.82181,1.32716,0.83188,0.79299,0.87456,0.6416,0.88748,0.93008,1.47695,0.0013268,0.0013268,0.0013268
19,22400.3,0.76673,0.79109,1.33736,0.92213,0.91086,0.94618,0.70063,0.90781,0.6893,1.49662,0.0012872,0.0012872,0.0012872
20,23596.9,0.745,0.75601,1.30839,0.94632,0.91667,0.96347,0.70804,0.86634,0.70781,1.42254,0.0012476,0.0012476,0.0012476
